,DC_NOME,SG_ESTADO,VL_LATITUDE,VL_LONGITUDE,DT_INICIO_OPERACAO,CD_ESTACAO
0,ALEGRE,ES,-20.75055555,-41.48888888,24/10/2006,A617
1,ALFREDO CHAVES,ES,-20.63638888,-40.74194444,02/11/2006,A615
2,ANGRA DOS REIS,RJ,-22.97555554,-44.30333333,24/08/2017,A628
3,ARRAIAL DO CABO,RJ,-22.97527777,-42.02138888,21/09/2006,A606
4,BARBACENA,MG,-21.22833332,-43.76777777,04/12/2002,A502
5,CAMBUCI,RJ,-21.58749999,-41.95833333,19/11/2002,A604
6,CAMPOS DOS GOYTACAZES,RJ,-21.71472222,-41.34388888,24/09/2006,A607
7,CAMPOS DOS GOYTACAZES - SAO TOME,RJ,-22.04166666,-41.05166666,12/06/2008,A620
8,CARMO,RJ,-21.9386111,-42.60083333,10/10/2018,A629
9,CORONEL PACHECO,MG,-21.54666666,-43.26111111,16/10/2012,A557
10,DUQUE DE CAXIAS - XEREM,RJ,-22.58972221,-43.28222221,20/10/2002,A603
11,JUIZ DE FORA,MG,-21.769965,-43.364329,25/05/2007,A518
12,MACAE,RJ,-22.3761111,-41.81194444,21/09/2006,A608
13,MURIAE,MG,-21.105,-42.37583332,29/08/2006,A517
14,NITEROI,RJ,-22.86749999,-43.10194444,12/07/2018,A627
15,NOVA FRIBURGO - SALINAS,RJ,-22.33472221,-42.67694443,17/09/2010,A624
16,OLIVEIRA,MG,-20.715,-44.86444444,18/10/2017,A570
17,OURO BRANCO,MG,-20.55666666,-43.75611111,27/07/2006,A513
18,PARATY,RJ,-23.2236111,-44.72694443,18/11/2006,A619
19,PASSA QUATRO,MG,-22.39583333,-44.96194444,29/05/2007,A529
20,PICO DO COUTO,RJ,-22.46472222,-43.29138888,21/10/2006,A610
21,PRESIDENTE KENNEDY,ES,-21.10083333,-41.03944444,17/06/2008,A622
22,Paty do Alferes - Avelar,RJ,-22.34722221,-43.41777777,09/11/2022,A637
23,RESENDE,RJ,-22.45138888,-44.44499999,28/09/2006,A609
24,RIO CLARO,RJ,-22.653579,-44.040916,02/06/2016,A626
25,RIO DE JANEIRO - FORTE DE COPACABANA,RJ,-22.98833333,-43.19055555,17/05/2007,A652
26,RIO DE JANEIRO - JACAREPAGUA,RJ,-22.93999999,-43.40277777,09/08/2017,A636
27,RIO DE JANEIRO - VILA MILITAR,RJ,-22.86138888,-43.41138888,12/04/2007,A621
28,RIO DE JANEIRO-MARAMBAIA,RJ,-23.05027777,-43.59555555,07/11/2002,A602
29,SANTA MARIA MADALENA,RJ,-21.95055555,-42.01027777,15/10/2018,A630
30,SAO JOAO DEL REI,MG,-21.10638888,-44.25083333,08/06/2006,A514
31,SAQUAREMA - SAMPAIO CORREIA,RJ,-22.8711111,-42.60888888,01/09/2015,A667
32,SEROPEDICA-ECOLOGIA AGRICOLA,RJ,-22.75777777,-43.68472221,23/05/2000,A601
33,SILVA JARDIM,RJ,-22.64583333,-42.41555555,27/08/2015,A659
34,TERESOPOLIS-PARQUE NACIONAL,RJ,-22.4486111,-42.98694444,31/10/2006,A618
35,TRES RIOS,RJ,-22.09833333,-43.20833333,07/06/2016,A625
36,VALENCA,RJ,-22.35805555,-43.69555555,26/09/2006,A611
37,VENDA NOVA DO IMIGRANTE,ES,-20.38555555,-41.18999999,09/02/2017,A633
38,VICOSA,MG,-20.762607,-42.864013,14/09/2005,A510
39,VILA VELHA,ES,-20.46694443,-40.40388888,14/02/2017,A634
40,VITORIA,ES,-20.27083332,-40.30583333,30/10/2006,A612
